Username,Login_Date,Login_Time,IP_Address,Country,City,Latitude,Longitude,Device,Login_Success,Failed_Attempts,Suspicious
david,2025-11-24,14:05,226.196.13.23,China,Beijing,39.9042,116.4074,Laptop,1,0,0
bob,2025-06-17,13:07,195.171.14.116,Russia,Moscow,55.7558,37.6173,Desktop,1,1,0
oliver,2025-02-06,00:44,152.248.5.33,India,Bangalore,12.9716,77.5946,Unknown,0,6,1
charlie,2025-01-30,17:17,150.184.211.180,India,Mumbai,19.076,72.8777,Desktop,1,0,0
bob,2025-03-26,10:28,46.34.39.173,Russia,Moscow,55.7558,37.6173,Laptop,1,1,0
harry,2025-04-20,22:32,13.93.121.143,UK,London,51.5074,-0.1278,Laptop,1,1,0
charlie,2025-03-19,01:34,21.143.32.28,UK,London,51.5074,-0.1278,Unknown,1,6,1
emma,2025-05-26,19:09,153.66.193.27,USA,San Francisco,37.7749,-122.4194,Desktop,1,0,0
oliver,2025-05-11,03:44,21.218.94.132,India,Mumbai,19.076,72.8777,Unknown,1,6,1
emma,2025-09-22,20:02,221.138.88.146,Russia,Moscow,55.7558,37.6173,Laptop,1,0,0
sophia,2025-06-13,12:59,245.221.185.175,India,Bangalore,12.9716,77.5946,Desktop,1,0,0
john,2025-06-26,02:20,8.98.58.232,India,Mumbai,19.076,72.8777,Unknown,0,6,1
harry,2025-03-25,14:51,173.240.41.177,India,Bangalore,12.9716,77.5946,Mobile,1,1,0
oliver,2025-03-24,00:17,31.54.101.245,Russia,Moscow,55.7558,37.6173,Unknown,1,3,1
alice,2025-06-09,19:00,3.40.144.131,UK,London,51.5074,-0.1278,Mobile,1,1,0
emma,2025-02-09,12:34,73.81.76.129,Russia,Moscow,55.7558,37.6173,Desktop,1,1,0
john,2025-03-03,21:36,144.166.217.193,Russia,Moscow,55.7558,37.6173,Laptop,1,0,0
charlie,2025-06-05,15:30,163.20.113.114,Russia,Moscow,55.7558,37.6173,Laptop,1,1,0
bob,2025-12-09,15:52,206.152.96.59,China,Beijing,39.9042,116.4074,Desktop,1,1,0
david,2025-12-20,01:22,198.13.253.203,USA,New York,40.7128,-74.006,Unknown,0,6,1
sophia,2025-06-30,14:07,147.79.20.42,India,Mumbai,19.076,72.8777,Desktop,1,0,0
charlie,2025-08-09,21:06,139.188.10.178,India,Bangalore,12.9716,77.5946,Mobile,1,1,0
harry,2025-05-27,21:27,185.175.14.98,India,Mumbai,19.076,72.8777,Mobile,1,0,0
alice,2025-08-14,19:09,27.199.138.20,USA,San Francisco,37.7749,-122.4194,Laptop,1,1,0
alice,2025-04-06,13:40,104.208.240.93,India,Bangalore,12.9716,77.5946,Laptop,1,0,0
charlie,2025-03-26,12:59,54.60.55.52,USA,San Francisco,37.7749,-122.4194,Mobile,1,0,0
harry,2025-04-13,12:54,250.200.148.153,India,Mumbai,19.076,72.8777,Laptop,1,1,0
alice,2025-08-16,15:39,160.62.111.30,USA,New York,40.7128,-74.006,Desktop,1,1,0
harry,2025-12-18,08:03,137.93.45.229,China,Beijing,39.9042,116.4074,Desktop,1,1,0
john,2025-08-07,11:24,31.129.140.124,China,Beijing,39.9042,116.4074,Desktop,1,0,0
david,2025-06-24,00:59,3.217.188.64,India,Bangalore,12.9716,77.5946,Unknown,1,5,1
isabella,2025-01-23,10:38,172.52.121.160,Russia,Moscow,55.7558,37.6173,Laptop,1,1,0
harry,2025-10-10,19:40,23.145.147.107,India,Bangalore,12.9716,77.5946,Mobile,1,0,0
harry,2025-09-13,14:15,114.223.141.184,USA,New York,40.7128,-74.006,Laptop,1,1,0
emma,2025-04-14,09:48,112.6.36.4,USA,San Francisco,37.7749,-122.4194,Mobile,1,0,0
emma,2025-06-30,21:15,5.29.192.231,USA,San Francisco,37.7749,-122.4194,Laptop,1,0,0
sophia,2025-04-12,17:20,188.118.221.143,China,Beijing,39.9042,116.4074,Laptop,1,0,0
emma,2025-08-24,20:29,215.241.187.7,India,Mumbai,19.076,72.8777,Laptop,1,1,0
bob,2025-05-13,12:55,88.150.226.144,China,Beijing,39.9042,116.4074,Mobile,1,0,0
john,2025-01-08,16:18,24.206.194.213,USA,San Francisco,37.7749,-122.4194,Laptop,1,1,0
isabella,2025-05-18,13:54,116.41.16.253,China,Beijing,39.9042,116.4074,Desktop,1,0,0
david,2025-03-11,13:43,97.111.64.95,India,Bangalore,12.9716,77.5946,Mobile,1,1,0
sophia,2025-05-15,15:00,67.54.70.85,India,Bangalore,12.9716,77.5946,Mobile,1,0,0
oliver,2025-02-22,01:04,42.130.104.147,China,Beijing,39.9042,116.4074,Unknown,0,5,1
oliver,2025-02-15,11:00,143.82.176.81,UK,London,51.5074,-0.1278,Desktop,1,1,0
emma,2025-06-29,09:04,10.13.82.199,USA,New York,40.7128,-74.006,Mobile,1,1,0
emma,2025-05-16,19:48,140.187.229.228,China,Beijing,39.9042,116.4074,Mobile,1,0,0
isabella,2025-05-12,20:17,1.162.168.203,China,Beijing,39.9042,116.4074,Mobile,1,0,0
bob,2025-01-28,08:03,105.158.54.27,UK,London,51.5074,-0.1278,Desktop,1,1,0
isabella,2025-10-20,08:04,183.18.229.249,Russia,Moscow,55.7558,37.6173,Mobile,1,0,0
isabella,2025-05-23,19:54,172.206.18.153,USA,New York,40.7128,-74.006,Laptop,1,0,0
emma,2025-10-22,13:12,162.61.189.74,USA,New York,40.7128,-74.006,Desktop,1,0,0
isabella,2025-12-28,18:52,200.212.38.116,India,Bangalore,12.9716,77.5946,Desktop,1,1,0
oliver,2025-04-03,13:21,118.225.117.249,India,Mumbai,19.076,72.8777,Laptop,1,1,0
harry,2025-12-27,18:18,205.65.199.231,USA,San Francisco,37.7749,-122.4194,Desktop,1,0,0
john,2025-08-29,10:57,65.131.15.119,USA,New York,40.7128,-74.006,Laptop,1,1,0
sophia,2025-08-10,09:44,61.62.174.226,Russia,Moscow,55.7558,37.6173,Mobile,1,1,0
oliver,2025-05-20,01:47,145.70.175.169,India,Bangalore,12.9716,77.5946,Unknown,1,4,1
oliver,2025-07-21,22:03,38.217.158.58,Russia,Moscow,55.7558,37.6173,Desktop,1,0,0
oliver,2025-10-13,21:03,107.230.238.133,India,Mumbai,19.076,72.8777,Desktop,1,1,0
oliver,2025-03-27,15:37,92.153.153.190,India,Mumbai,19.076,72.8777,Laptop,1,1,0
isabella,2025-01-13,01:08,108.243.169.181,China,Beijing,39.9042,116.4074,Unknown,0,5,1
emma,2025-10-06,10:13,62.76.126.144,Russia,Moscow,55.7558,37.6173,Laptop,1,0,0
david,2025-06-10,01:50,241.24.237.162,UK,London,51.5074,-0.1278,Unknown,0,3,1
oliver,2025-11-12,22:56,12.147.137.37,China,Beijing,39.9042,116.4074,Mobile,1,0,0
charlie,2025-04-19,11:10,134.7.69.3,UK,London,51.5074,-0.1278,Mobile,1,1,0
harry,2025-04-08,04:15,76.163.143.189,UK,London,51.5074,-0.1278,Unknown,0,4,1
david,2025-05-02,00:00,62.188.21.135,India,Mumbai,19.076,72.8777,Unknown,0,4,1
sophia,2025-12-27,02:37,229.116.84.110,India,Mumbai,19.076,72.8777,Unknown,0,3,1
isabella,2025-12-01,12:59,47.131.20.35,UK,London,51.5074,-0.1278,Laptop,1,1,0
charlie,2025-05-05,14:33,224.203.179.5,India,Mumbai,19.076,72.8777,Laptop,1,1,0
david,2025-01-18,19:22,77.41.33.52,India,Bangalore,12.9716,77.5946,Laptop,1,0,0
oliver,2025-03-04,01:08,50.142.177.43,USA,New York,40.7128,-74.006,Unknown,0,6,1
emma,2025-09-08,16:15,84.210.229.188,USA,New York,40.7128,-74.006,Laptop,1,0,0
charlie,2025-10-30,01:12,70.118.216.112,USA,San Francisco,37.7749,-122.4194,Unknown,0,5,1
alice,2025-03-09,19:13,50.33.126.23,USA,San Francisco,37.7749,-122.4194,Mobile,1,0,0
david,2025-09-18,13:58,232.201.44.199,India,Mumbai,19.076,72.8777,Laptop,1,1,0
sophia,2025-07-01,04:47,155.136.216.64,Russia,Moscow,55.7558,37.6173,Unknown,1,3,1
charlie,2025-09-03,22:14,123.233.44.136,UK,London,51.5074,-0.1278,Desktop,1,1,0
david,2025-06-14,19:38,122.246.127.107,UK,London,51.5074,-0.1278,Desktop,1,1,0
sophia,2025-10-06,03:43,230.47.198.188,UK,London,51.5074,-0.1278,Unknown,0,4,1
bob,2025-06-14,20:52,116.124.27.141,India,Mumbai,19.076,72.8777,Desktop,1,1,0
john,2025-10-25,04:08,99.226.75.197,India,Bangalore,12.9716,77.5946,Unknown,1,5,1
oliver,2025-01-24,21:52,32.12.135.175,USA,San Francisco,37.7749,-122.4194,Laptop,1,1,0
oliver,2025-02-15,21:58,138.104.107.168,USA,San Francisco,37.7749,-122.4194,Mobile,1,0,0
david,2025-04-22,10:43,193.70.75.96,USA,San Francisco,37.7749,-122.4194,Laptop,1,0,0
charlie,2025-06-18,02:31,24.33.110.140,Russia,Moscow,55.7558,37.6173,Unknown,0,5,1
charlie,2025-11-30,16:34,35.160.77.241,India,Mumbai,19.076,72.8777,Laptop,1,0,0
alice,2025-09-09,12:40,224.253.236.181,China,Beijing,39.9042,116.4074,Mobile,1,1,0
emma,2025-07-21,01:02,125.83.253.89,USA,San Francisco,37.7749,-122.4194,Unknown,1,5,1
john,2025-12-01,21:42,53.237.15.233,India,Mumbai,19.076,72.8777,Mobile,1,0,0
john,2025-01-22,12:24,109.204.11.31,India,Bangalore,12.9716,77.5946,Mobile,1,1,0
